     1→     1→# Tarombo Hariandja - Worklog
     2→     2→
     3→     3→---
     4→     4→Task ID: 1
     5→     5→Agent: Main
     6→     6→Task: Complete rearchitecture of Tarombo app
     7→     7→
     8→     8→Work Log:
     9→     9→- Removed Prisma ORM entirely, replaced with raw SQLite (better-sqlite3)
    10→    10→- Created database schema: persons, partnerships, parent_child, users, rbac_permissions tables
    11→    11→- Built complete data access layer (src/lib/db.ts) with CRUD operations
    12→    12→- Implemented JWT auth system (src/lib/auth.ts) with bcryptjs + jose
    13→    13→- Created Zustand auth store (src/store/auth.ts)
    14→    14→- Defined TypeScript types (src/types/index.ts) for all entities
    15→    15→- Created 12 API routes: auth/login, auth/me, persons, persons/[id], partnerships, partnerships/[id], tree, search, rbac/permissions, rbac/users, rbac/users/[id], seed
    16→    16→- Built D3.js vertical tree view with zoom/pan, spouse nodes, deceased indicators
    17→    17→- Created person form (create/edit), person detail, partnership form/list
    18→    18→- Built search panel with debounced search
    19→    19→- Implemented export system (PNG, JPG, PDF, large PDF) with watermark overlay
    20→    20→- Created RBAC panel for permission management per role
    21→    21→- Created user management panel
    22→    22→- Built login form with react-hook-form + zod v4
    23→    23→- Implemented dark/light theme toggle with next-themes
    24→    24→- Created main page with RBAC-based tab routing (viewer: tree+search, editor/admin: all tabs)
    25→    25→- Single marga 'Hariandja' with seed data
    26→    26→- Death auto-divorce logic in person update
    27→    27→- Monogamy enforcement in partnership creation
    28→    28→- All UI in Bahasa Indonesia
    29→    29→- Pushed to GitHub: https://github.com/imanueli2312/tarombo
    30→    30→
    31→    31→Stage Summary:
    32→    32→- Complete rearchitecture from Prisma to raw SQLite
    33→    33→- RBAC system with 3 roles (viewer/editor/admin) and 15 permissions
    34→    34→- D3 vertical tree with zoom/pan
    35→    35→- Dark/light theme toggle
    36→    36→- Export system with watermark
    37→    37→- 103 files changed, 13,554 insertions
    38→    38→- Successfully pushed to GitHub (force push to main)
    39→    39→
    40→    40→---
    41→    41→Task ID: 2
    42→    42→Agent: Main
    43→    43→Task: Replace all tarombo-bg01.png references with tarombo-bg02.png as watermark, logo, and background
    44→    44→
    45→    45→Work Log:
    46→    46→- Copied tarombo-bg02.png from upload/ to public/
    47→    47→- Updated export-dialog.tsx: watermark image src to /tarombo-bg02.png (centered, scaled to 40% of canvas)
    48→    48→- Updated page.tsx: header logo img src to /tarombo-bg02.png
    49→    49→- Updated layout.tsx: favicon to /tarombo-bg02.png
    50→    50→- Updated login-form.tsx: login card logo to /tarombo-bg02.png
    51→    51→- Updated globals.css: tree-container background to /tarombo-bg02.png
    52→    52→- Added .page-bg CSS class with tarombo-bg02.png as full-page cover background (fixed attachment, centered)
    53→    53→- Applied page-bg class to main page wrapper in page.tsx
    54→    54→- Verified no remaining references to tarombo-bg01.png
    55→    55→- Browser-verified: logo loads, background image applied correctly, no console errors
    56→    56→
    57→    57→Stage Summary:
    58→    58→- tarombo-bg02.png is now used as: watermark (exports), logo (header + login), background (full page + tree container)
    59→    59→- All 5 files updated, 0 remaining references to old image
    60→    60→- Browser verified successfully
    61→    61→
    62→    62→---
    63→    63→Task ID: 3
    64→    64→Agent: Main
    65→    65→Task: Deep audit — find and fix all integration issues
    66→    66→
    67→    67→Work Log:
    68→    68→- Read and audited all 20+ source files: db.ts, auth.ts, types/index.ts, 12 API routes, tree-view.tsx, person-detail.tsx, person-form.tsx, partnership-form.tsx, partnership-list.tsx, search-panel.tsx, profile-panel.tsx, rbac-panel.tsx, user-management.tsx, login-form.tsx, export-dialog.tsx, page.tsx, layout.tsx, globals.css, package.json
    69→    69→- Browser-tested: login, all 6 tabs, person detail (Profile + Search), dark theme toggle, admin panel, RBAC panel, tree rendering
    70→    70→
    71→    71→Issues found and fixed (9 total):
    72→    72→1. **CRITICAL — PersonDetail crash bug**: API returns `{parents: {father, mother}, children: Person[]}` but component expected `parents: Array<{parent_id, child_id, person}>` and `children: Array<{id, parent_id, child_id, person}>`. Called `.find()` on object → TypeError crash. Fixed interface and all property access patterns.
    73→    73→2. **HIGH — Monogamy check incomplete**: `createPartnership` only checked `WHERE person1_id = ?` for person1 and `WHERE person2_id = ?` for person2. Missed case where person is in opposite column. Fixed to `WHERE (person1_id = ? OR person2_id = ?)`.
    74→    74→3. **MEDIUM — Invalid CSS `background-opacity`**: `tree-container` and `page-bg` classes used `background-opacity: 0.05` which is not a valid CSS property. Replaced with `::before` pseudo-element approach using `opacity`.
    75→    75→4. **LOW — `custom-scrollbar` class undefined**: Referenced in search-panel.tsx but never defined in CSS. Removed the class.
    76→    76→5. **LOW — Dead `getAuthUser()` function**: Always returned null with comment "use async version". Removed dead code from auth.ts.
    77→    77→6. **LOW — Unused files**: Removed `src/app/api/route.ts` (Hello World), `src/hooks/use-toast.ts`, `src/components/ui/toast.tsx`, `src/components/ui/toaster.tsx` (replaced by sonner).
    78→    78→7. **LOW — Stale Prisma scripts**: `db:push`, `db:generate`, `db:migrate`, `db:reset` still in package.json. Removed.
    79→    79→8. **MEDIUM — RBAC save mutation silent failures**: `Promise.all` ignored individual response errors. Changed to `Promise.allSettled` with error count check.
    80→    80→9. **MEDIUM — Person form empty string vs null**: Update mutation sent empty strings `''` for cleared optional fields instead of `null`. Added explicit null assignment for empty optional fields during edit.
    81→    81→
    82→    82→Stage Summary:
    83→    83→- 1 critical crash bug fixed (person detail page)
    84→    84→- 1 data integrity bug fixed (monogamy enforcement)
    85→    85→- 1 CSS rendering bug fixed (background opacity)
    86→    86→- 6 code quality improvements
    87→    87→- All fixes browser-verified: zero console errors, all tabs functional, person detail loads correctly from both Profile and Search
    88→    88→- Lint passes: 0 errors, 3 warnings (all non-blocking)
    89→    89→
    90→    90→---
    91→    91→Task ID: 4
    92→    92→Agent: Main
    93→    93→Task: Deep audit round 2 — comprehensive re-verification of all integration points
    94→    94→
    95→    95→Work Log:
    96→    96→- Re-read all 20+ source files from scratch for line-by-line audit
    97→    97→- Verified db.ts: schema, CRUD, monogamy check, death auto-divorce, cascade delete, search, RBAC functions
    98→    98→- Verified all 12 API routes for RBAC protection consistency, error handling, input validation
    99→    99→- Verified tree-view.tsx: D3 vertical layout, zoom/pan, spouse nodes, deceased indicators, node click
   100→   100→- Verified person-detail.tsx: correct interface matching API response (father/mother/children/spouse)
   101→   101→- Verified export-dialog.tsx: watermark bg02 centered 40% scale 30% opacity, PNG/JPG/PDF/large PDF
   102→   102→- Verified rbac-panel.tsx: Promise.allSettled, admin locked, dirty tracking, permission toggle
   103→   103→- Verified user-management.tsx: CRUD, self-delete prevention, role validation
   104→   104→- Verified auth flow: login-form → cookie + JWT → auth-provider → auth-store → RBAC tabs
   105→   105→- Verified theme: next-themes class-based, dark/light toggle, CSS variables for both themes
   106→   106→- Verified business rules: monogamy (OR check on both columns), death auto-divorce (duda/janda), single marga
   107→   107→- Ran ESLint: 0 errors, 3 warnings → fixed 1 → 0 errors, 2 warnings
   108→   108→- Browser-verified with agent-browser: page load, login, all 6 tabs, search → person detail, RBAC panel, dark theme toggle, Pernikahan tab
   109→   109→- Checked console for errors: found SVG flood-color/flood-opacity DOM warnings
   110→   110→
   111→   111→Issues found and fixed (3 total):
   112→   112→1. **MEDIUM — RBACPermission.allowed type mismatch**: SQLite returns `allowed` as INTEGER (0/1) but TypeScript type expects boolean. Functions `getPermissionsForRole()`, `getAllPermissions()`, `updatePermission()` used `as RBACPermission[]` without converting values. Fixed by mapping rows with `allowed: row.allowed === 1`.
   113→   113→2. **MEDIUM — SVG DOM warnings**: `feDropShadow` used kebab-case attributes `flood-color`/`flood-opacity` which are invalid in React JSX. Fixed to camelCase `floodColor`/`floodOpacity`.
   114→   114→3. **LOW — Unused eslint-disable directive**: `tree-view.tsx` line 76 had `// eslint-disable-next-line @typescript-eslint/no-explicit-any` but the rule was not active. Removed.
   115→   115→
   116→   116→Accepted risks (non-issues):
